Rank,Artist,Song Title
500,"Los Del Rio,",Macarena (Bayside Boys Mix)
499,"New Kids on the Block,",You Got It (The Right Stuff)
498,"Cherrelle with Alexander O’Neal,",Saturday Love
497,"Toni Basil,",Mickey
496,"Connie Francis,",Stupid Cupid
495,"Demi Lovato,",Give Your Heart a Break
494,"Tommy Tutone,",867-5309/Jenny
493,"Pharrell feat. Jay-Z,",Frontin'
492,"Irene Cara,",Flashdance…What a Feeling
491,"Lil Kim feat. Lil Cease,",Crush on You
490,"Berlin,",Take My Breath Away
489,"Alice Deejay,",Better Off Alone
488,"Ella Mai,",Boo’d Up
487,"The Dave Clark Five,",Glad All Over
486,"Pretenders,",Back on the Chain Gang
485,"Tony Bennett,",I Left My Heart in San Francisco
484,"Real McCoy,",Another Night
483,"The Romantics,",What I Like About You
482,"Ciara feat. Petey Pablo,",Goodies
481,"The Shangri-Las,",Give Him a Great Big Kiss
480,"First Class,",Beach Baby
479,"Debbie Gibson,",Only in My Dreams
478,"Little Anthony and the Imperials,",Tears on My Pillow
477,"Biz Markie,",Just a Friend
476,"Nina Sky feat. Jibbs,",Move Ya Body
475,"Right Said Fred,",I’m Too Sexy
474,"Darlene Love,",Christmas (Baby Please Come Home)
473,"Roddy Ricch,",The Box
472,"Badfinger,",No Matter What
471,"En Vogue,",My Lovin’ (You’re Never Gonna Get It)
470,"Harold Melvin and the Blue Notes,",The Love I Lost
469,"Usher,",You Make Me Wanna…
468,"Luther Vandross,",Never Too Much
467,"Cam’Ron feat. Juelz Santana, Freekey Zekey & Toya,",Hey Ma
466,"Roxette,",It Must Have Been Love
465,"Ohio Express,",Yummy Yummy Yummy
464,"Billy Ray Cyrus,",Achy Breaky Heart
463,"Cassie,",Me & U
462,"Rob Base & DJ EZ-Rock,",It Takes Two
461,"Stan Getz & Joao Gilberto,",The Girl From Ipanema
460,"Bobby Brown,",My Prerogative
459,"J Balvin & Willy William,",Mi Gente
458,"The Angels,",My Boyfriend’s Back
457,"Olivia Newton-John,",Physical
456,"Nelly Furtado feat. Timbaland,",Promiscuous
455,"The Kid LAROI & Justin Bieber,",Stay
454,"Dawn Penn,","You Don’t Love Me (No, No, No)"
453,"New Radicals,",You Get What You Give
452,"Todd Rundgren,",I Saw the Light
451,"Clean Bandit feat. Jess Glynne,",Rather Be
450,"The Outfield,",Your Love
449,"Tyga,",Rack City
448,"Laura Branigan,",Gloria
447,"CeCe Peniston,",Finally
446,"Modern English,",I Melt With You
445,"Flo Rida feat. T-Pain,",Low
444,"Sister Sledge,",We Are Family
443,"Billy Joel,",Uptown Girl
442,"House of Pain,",Jump Around
441,"Janet Jackson,",All for You
440,"Aretha Franklin,",(You Make Me Feel Like) A Natural Woman
439,"Toni Braxton,",You’re Makin’ Me High
438,"Joe Jackson,",Is She Really Going Out With Him?
437,"Maroon 5,",This Love
436,"Diana Ross,",I’m Coming Out
435,"The 5th Dimension,",Aquarius/Let the Sunshine In
434,"Walk the Moon,",Shut Up and Dance
433,"Ice Cube,",It Was a Good Day
432,"Thelma Houston,",Don’t Leave Me This Way
431,"Spiral Starecase,",More Today Than Yesterday
430,"Dionne Warwick,",I Say a Little Prayer
429,"LEN,",Steal My Sunshine
428,"Sylvester,",You Make Me Feel (Mighty Real)
427,"Jordin Sparks & Chris Brown,",No Air
426,"Chief Keef feat. Lil Reese,",I Don’t Like
425,"Kim Carnes,",Bette Davis Eyes
424,"Candi Staton,",Young Hearts Run Free
423,"t.A.T.u.,",All the Things She Said
422,"Alicia Keys,",If I Ain’t Got You
421,"The Righteous Brothers,",You’ve Lost That Lovin’ Feelin'
420,"Ike & Tina Turner,",Proud Mary
419,"Bonnie Raitt,",Something to Talk About
418,"Lana Del Rey vs. Cedric Gervais,",Summertime Sadness
417,"Shannon,",Let the Music Play
416,"Edison Lighthouse,",Love Grows (Where My Rosemary Goes)
415,"Marc Cohn,",Walking in Memphis
414,"Bananarama,",Cruel Summer
413,"Daryl Hall & John Oates,",She’s Gone
412,"Snoop Dogg feat. Pharrell,",Drop It Like It’s Hot
411,"Labelle,",Lady Marmalade
410,"The Marvelettes,",Please Mr. Postman
409,"Donna Summer,",Bad Girls
408,"Donna Lewis,",I Love You Always Forever
407,"Wizkid feat. Tems,",Essence
406,"LL Cool J,",Mama Said Knock You Out
405,"Sheryl Crow,",All I Wanna Do
404,"Odyssey,",Native New Yorker
403,"Martha & The Vandellas,",Dancing in the Street
402,"C+C Music Factory,",Gonna Make You Sweat (Everybody Dance Now)
401,"Fountains of Wayne,",Stacy’s Mom
